Edad,Ano ,Origen,dx
70,2018,UE 28,282
71,2018,UE 28,341
72,2018,UE 28,286
73,2018,UE 28,310
74,2018,UE 28,334
75,2018,UE 28,314
76,2018,UE 28,327
77,2018,UE 28,339
78,2018,UE 28,342
79,2018,UE 28,318
80,2018,UE 28,302
81,2018,UE 28,270
82,2018,UE 28,284
83,2018,UE 28,271
84,2018,UE 28,249
85,2018,UE 28,249
86,2018,UE 28,273
87,2018,UE 28,270
88,2018,UE 28,233
89,2018,UE 28,192
90,2018,UE 28,1178
0,2019,UE 28,57
1,2019,UE 28,16
2,2019,UE 28,6
3,2019,UE 28,6
4,2019,UE 28,4
5,2019,UE 28,3
6,2019,UE 28,2
7,2019,UE 28,2
8,2019,UE 28,2
9,2019,UE 28,4
10,2019,UE 28,2
11,2019,UE 28,4
12,2019,UE 28,3
13,2019,UE 28,2
14,2019,UE 28,4
15,2019,UE 28,6
16,2019,UE 28,6
17,2019,UE 28,5
18,2019,UE 28,6
19,2019,UE 28,8
20,2019,UE 28,14
21,2019,UE 28,11
22,2019,UE 28,12
23,2019,UE 28,14
24,2019,UE 28,14
25,2019,UE 28,25
26,2019,UE 28,10
27,2019,UE 28,13
28,2019,UE 28,19
29,2019,UE 28,8
30,2019,UE 28,24
31,2019,UE 28,21
32,2019,UE 28,28
33,2019,UE 28,27
34,2019,UE 28,23
35,2019,UE 28,27
36,2019,UE 28,24
37,2019,UE 28,36
38,2019,UE 28,42
39,2019,UE 28,51
40,2019,UE 28,37
41,2019,UE 28,45
42,2019,UE 28,52
43,2019,UE 28,51
44,2019,UE 28,55
45,2019,UE 28,75
46,2019,UE 28,79
47,2019,UE 28,89
48,2019,UE 28,103
49,2019,UE 28,110
50,2019,UE 28,125
51,2019,UE 28,151
52,2019,UE 28,148
53,2019,UE 28,129
54,2019,UE 28,168
55,2019,UE 28,156
56,2019,UE 28,161
57,2019,UE 28,173
58,2019,UE 28,176
59,2019,UE 28,161
60,2019,UE 28,181
61,2019,UE 28,172
62,2019,UE 28,187
63,2019,UE 28,186
64,2019,UE 28,216
65,2019,UE 28,214
66,2019,UE 28,223
67,2019,UE 28,232
68,2019,UE 28,242
69,2019,UE 28,241
70,2019,UE 28,260
71,2019,UE 28,298
72,2019,UE 28,311
73,2019,UE 28,318
74,2019,UE 28,335
75,2019,UE 28,333
76,2019,UE 28,359
77,2019,UE 28,307
78,2019,UE 28,336
79,2019,UE 28,333
80,2019,UE 28,321
81,2019,UE 28,327
82,2019,UE 28,298
83,2019,UE 28,273
84,2019,UE 28,271
85,2019,UE 28,276
86,2019,UE 28,220
87,2019,UE 28,277
88,2019,UE 28,256
89,2019,UE 28,225
90,2019,UE 28,1149
0,2020,UE 28,55
1,2020,UE 28,8
2,2020,UE 28,6
3,2020,UE 28,5
4,2020,UE 28,2
5,2020,UE 28,3
6,2020,UE 28,2
7,2020,UE 28,3
8,2020,UE 28,1
9,2020,UE 28,1
10,2020,UE 28,2
11,2020,UE 28,4
12,2020,UE 28,4
13,2020,UE 28,4
14,2020,UE 28,2
15,2020,UE 28,6
16,2020,UE 28,3
17,2020,UE 28,4
18,2020,UE 28,6
19,2020,UE 28,4
20,2020,UE 28,13
21,2020,UE 28,8
22,2020,UE 28,14
23,2020,UE 28,20
24,2020,UE 28,14
25,2020,UE 28,44
26,2020,UE 28,14
27,2020,UE 28,14
28,2020,UE 28,24
29,2020,UE 28,14
30,2020,UE 28,34
31,2020,UE 28,25
32,2020,UE 28,31
33,2020,UE 28,35
34,2020,UE 28,34
35,2020,UE 28,31
36,2020,UE 28,32
37,2020,UE 28,44
38,2020,UE 28,44
39,2020,UE 28,67
40,2020,UE 28,53
41,2020,UE 28,72
42,2020,UE 28,62
43,2020,UE 28,67
44,2020,UE 28,83
45,2020,UE 28,89
46,2020,UE 28,88
47,2020,UE 28,110
48,2020,UE 28,107
49,2020,UE 28,129
50,2020,UE 28,148
51,2020,UE 28,133
52,2020,UE 28,156
53,2020,UE 28,157
54,2020,UE 28,145
55,2020,UE 28,172
56,2020,UE 28,162
57,2020,UE 28,184
58,2020,UE 28,192
59,2020,UE 28,162
60,2020,UE 28,198
61,2020,UE 28,173
62,2020,UE 28,193
63,2020,UE 28,190
64,2020,UE 28,193
65,2020,UE 28,205
66,2020,UE 28,195
67,2020,UE 28,195
68,2020,UE 28,235
69,2020,UE 28,254
70,2020,UE 28,250
71,2020,UE 28,302
72,2020,UE 28,313
73,2020,UE 28,347
74,2020,UE 28,331
75,2020,UE 28,314
76,2020,UE 28,334
77,2020,UE 28,358
78,2020,UE 28,328
79,2020,UE 28,335
80,2020,UE 28,361
81,2020,UE 28,347
82,2020,UE 28,329
83,2020,UE 28,297
84,2020,UE 28,277
85,2020,UE 28,263
86,2020,UE 28,285
87,2020,UE 28,270
88,2020,UE 28,249
89,2020,UE 28,266
90,2020,UE 28,1336
0,2021,UE 28,17
1,2021,UE 28,8
2,2021,UE 28,3
3,2021,UE 28,2
4,2021,UE 28,3
5,2021,UE 28,3
6,2021,UE 28,3
7,2021,UE 28,2
8,2021,UE 28,2
9,2021,UE 28,2
10,2021,UE 28,5
11,2021,UE 28,4
12,2021,UE 28,4
13,2021,UE 28,2
14,2021,UE 28,5
15,2021,UE 28,5
16,2021,UE 28,2
17,2021,UE 28,4
18,2021,UE 28,4
19,2021,UE 28,8
20,2021,UE 28,13
21,2021,UE 28,9
22,2021,UE 28,12
23,2021,UE 28,7
24,2021,UE 28,13
25,2021,UE 28,6
26,2021,UE 28,8
27,2021,UE 28,15
28,2021,UE 28,14
29,2021,UE 28,11
30,2021,UE 28,10
31,2021,UE 28,18
32,2021,UE 28,19
33,2021,UE 28,24
34,2021,UE 28,22
35,2021,UE 28,26
36,2021,UE 28,17
37,2021,UE 28,18
38,2021,UE 28,33
39,2021,UE 28,32
40,2021,UE 28,42
41,2021,UE 28,41
42,2021,UE 28,62
43,2021,UE 28,60
44,2021,UE 28,65
45,2021,UE 28,72
46,2021,UE 28,87
47,2021,UE 28,79
48,2021,UE 28,83
49,2021,UE 28,96
50,2021,UE 28,129
51,2021,UE 28,123
52,2021,UE 28,135
53,2021,UE 28,192
54,2021,UE 28,140
55,2021,UE 28,183
56,2021,UE 28,157
57,2021,UE 28,159
58,2021,UE 28,168
59,2021,UE 28,175
60,2021,UE 28,179
61,2021,UE 28,178
62,2021,UE 28,178
63,2021,UE 28,185
64,2021,UE 28,212
65,2021,UE 28,199
66,2021,UE 28,240
67,2021,UE 28,214
68,2021,UE 28,240
69,2021,UE 28,261
70,2021,UE 28,265
71,2021,UE 28,274
72,2021,UE 28,329
73,2021,UE 28,338
74,2021,UE 28,363
75,2021,UE 28,343
76,2021,UE 28,389
77,2021,UE 28,372
78,2021,UE 28,375
79,2021,UE 28,375
80,2021,UE 28,342
81,2021,UE 28,381
82,2021,UE 28,368
83,2021,UE 28,315
84,2021,UE 28,287
85,2021,UE 28,290
86,2021,UE 28,277
87,2021,UE 28,266
